Municipality code,Municipality,Age,Total
075002,Alessano,18,59
075002,Alessano,19,77
075002,Alessano,20,83
075002,Alessano,21,58
075002,Alessano,22,67
075002,Alessano,23,67
075002,Alessano,24,66
075002,Alessano,25,64
075002,Alessano,26,60
075002,Alessano,27,70
075002,Alessano,28,62
075002,Alessano,29,75
075002,Alessano,30,72
075002,Alessano,31,68
075002,Alessano,32,68
075002,Alessano,33,57
075002,Alessano,34,62
075002,Alessano,35,61
075002,Alessano,36,57
075002,Alessano,37,66
075002,Alessano,38,53
075002,Alessano,39,69
075002,Alessano,40,72
075002,Alessano,41,74
075002,Alessano,42,73
075002,Alessano,43,79
075002,Alessano,44,62
075002,Alessano,45,71
075002,Alessano,46,104
075002,Alessano,47,94
075002,Alessano,48,98
075002,Alessano,49,87
075002,Alessano,50,84
075002,Alessano,51,102
075002,Alessano,52,87
075002,Alessano,53,96
075002,Alessano,54,106
075002,Alessano,55,100
075002,Alessano,56,102
075002,Alessano,57,94
075002,Alessano,58,79
075002,Alessano,59,102
075002,Alessano,60,82
075002,Alessano,61,87
075002,Alessano,62,86
075002,Alessano,63,76
075002,Alessano,64,78
075002,Alessano,65,79
075003,Alezio,18,65
075003,Alezio,19,68
075003,Alezio,20,54
075003,Alezio,21,51
075003,Alezio,22,58
075003,Alezio,23,56
075003,Alezio,24,53
075003,Alezio,25,53
075003,Alezio,26,56
075003,Alezio,27,45
075003,Alezio,28,68
075003,Alezio,29,58
075003,Alezio,30,65
075003,Alezio,31,65
075003,Alezio,32,52
075003,Alezio,33,47
075003,Alezio,34,44
075003,Alezio,35,61
075003,Alezio,36,69
075003,Alezio,37,50
075003,Alezio,38,52
075003,Alezio,39,80
075003,Alezio,40,85
075003,Alezio,41,64
075003,Alezio,42,66
075003,Alezio,43,81
075003,Alezio,44,88
075003,Alezio,45,84
075003,Alezio,46,76
075003,Alezio,47,92
075003,Alezio,48,102
075003,Alezio,49,90
075003,Alezio,50,64
075003,Alezio,51,84
075003,Alezio,52,90
075003,Alezio,53,99
075003,Alezio,54,103
075003,Alezio,55,110
075003,Alezio,56,92
075003,Alezio,57,96
075003,Alezio,58,76
075003,Alezio,59,82
075003,Alezio,60,74
075003,Alezio,61,63
075003,Alezio,62,93
075003,Alezio,63,66
075003,Alezio,64,79
075003,Alezio,65,53
075004,Alliste,18,72
075004,Alliste,19,79
075004,Alliste,20,63
075004,Alliste,21,78
075004,Alliste,22,70
075004,Alliste,23,69
075004,Alliste,24,78
075004,Alliste,25,83
075004,Alliste,26,65
075004,Alliste,27,66
075004,Alliste,28,63
075004,Alliste,29,60
075004,Alliste,30,87
075004,Alliste,31,84
075004,Alliste,32,69
075004,Alliste,33,67
075004,Alliste,34,72
075004,Alliste,35,76
075004,Alliste,36,60
075004,Alliste,37,66
075004,Alliste,38,61
075004,Alliste,39,74
075004,Alliste,40,90
075004,Alliste,41,80
075004,Alliste,42,86
075004,Alliste,43,89
075004,Alliste,44,80
075004,Alliste,45,99
075004,Alliste,46,95
075004,Alliste,47,101
075004,Alliste,48,118
075004,Alliste,49,103
075004,Alliste,50,86
075004,Alliste,51,102
075004,Alliste,52,90
075004,Alliste,53,102
075004,Alliste,54,113
075004,Alliste,55,87
075004,Alliste,56,101
075004,Alliste,57,92
075004,Alliste,58,106
075004,Alliste,59,119
075004,Alliste,60,102
075004,Alliste,61,104
075004,Alliste,62,98
075004,Alliste,63,87
075004,Alliste,64,81
075004,Alliste,65,70
075005,Andrano,18,53
075005,Andrano,19,47
075005,Andrano,20,44
075005,Andrano,21,39
075005,Andrano,22,50
075005,Andrano,23,51
075005,Andrano,24,65
075005,Andrano,25,53
075005,Andrano,26,47
075005,Andrano,27,47
075005,Andrano,28,44
075005,Andrano,29,50
075005,Andrano,30,63
075005,Andrano,31,53
075005,Andrano,32,47
075005,Andrano,33,35
075005,Andrano,34,42
075005,Andrano,35,40
075005,Andrano,36,38
075005,Andrano,37,46
075005,Andrano,38,32
075005,Andrano,39,46
