feature,importance
lda_dim_1,0.0823845
lda_dim_2,0.067967415
lda_closest_class,0.06777566
lda_cos_to_class_1,0.054462772
lda_cos_to_class_3,0.038732454
lda_dist_norm_class_3,0.02774792
lda_cos_to_class_2,0.026349744
lda_dist_norm_class_2,0.024784297
tr_majority_class,0.024278013
tr_neigh_class_2,0.019657161
lda_dist_norm_class_1,0.01903249
sd_class_2_dist_median,0.01837427
sd_class_4_dist_median,0.017228937
tr_neigh_class_4,0.017047899
lda_dist_norm_class_4,0.016570514
lda_cos_to_class_4,0.01649346
tr_neigh_class_3,0.015568606
sd_class_3_dist_mean,0.015486369
tr_neigh_class_1,0.014920148
lda_dist_to_class_3,0.014642468
sd_class_3_dist_min,0.014492045
lda_dist_to_class_1,0.014411854
sd_class_3_dist_std,0.014215116
sd_class_4_dist_mean,0.01386723
sd_class_4_dist_std,0.013642791
sd_closest_class,0.013061926
lda_dist_to_class_4,0.013012004
ratio_sd_class_3_to_real,0.012977416
ratio_sd_class_4_to_real,0.012918995
closer_to_sd_class_2_than_real,0.012843834
sd_class_1_dist_mean,0.012837923
lda_dim_3,0.0127626145
lda_dist_to_class_2,0.0126709845
tr_dist_std,0.012620493
sd_class_2_dist_std,0.012604094
sd_class_1_dist_std,0.0125190215
tr_dist_mean,0.012495606
lda_confidence,0.012436721
ratio_sd_class_2_to_real,0.012385714
sd_class_2_dist_mean,0.012310723
closer_to_sd_class_1_than_real,0.012198816
ratio_sd_class_1_to_real,0.011567318
closer_to_sd_class_3_than_real,0.011523098
tr_dist_min,0.011473688
tr_dist_median,0.011258123
sd_second_closest_class,0.011232201
sd_dist_ratio_closest_second,0.011173499
sd_class_3_dist_median,0.010675419
sd_class_1_dist_median,0.010287566
closer_to_sd_class_4_than_real,0.010026471
sd_class_4_dist_min,0.009725668
sd_class_1_dist_min,0.009485023
sd_class_2_dist_min,0.008780838
sd_class_4_neigh_class_2,0.0
sd_class_4_neigh_class_1,0.0
sd_class_3_has_examples,0.0
sd_class_3_neigh_class_1,0.0
sd_class_3_neigh_class_2,0.0
sd_class_3_neigh_class_3,0.0
sd_class_1_neigh_class_4,0.0
sd_class_1_neigh_class_3,0.0
sd_class_1_neigh_class_2,0.0
sd_class_2_has_examples,0.0
sd_class_2_neigh_class_1,0.0
sd_class_2_neigh_class_2,0.0
sd_class_2_neigh_class_3,0.0
sd_class_2_neigh_class_4,0.0
sd_class_1_has_examples,0.0
sd_class_1_neigh_class_1,0.0
sd_class_4_has_examples,0.0
sd_class_3_neigh_class_4,0.0
sd_class_4_neigh_class_3,0.0
sd_class_4_neigh_class_4,0.0
dataset_n_samples,0.0
dataset_n_features,0.0
dataset_class_1_count,0.0
dataset_class_1_ratio,0.0
dataset_class_2_count,0.0
dataset_class_2_ratio,0.0
dataset_class_3_count,0.0
dataset_class_3_ratio,0.0
dataset_class_4_count,0.0
dataset_class_4_ratio,0.0
